iter	Passed	Remaining
0	135	135761
1	137	68823
2	139	46523
3	141	35282
4	143	28568
5	145	24111
6	147	20893
7	149	18483
8	151	16633
9	152	15130
10	154	13893
11	156	12885
12	158	12017
13	160	11284
14	174	11457
15	176	10880
16	178	10346
17	180	9874
18	182	9448
19	184	9054
20	186	8710
21	188	8389
22	190	8096
23	192	7832
24	194	7586
25	196	7358
26	198	7156
27	201	6979
28	203	6798
29	205	6634
30	207	6476
31	209	6322
32	211	6193
33	213	6062
34	215	5942
35	217	5831
36	219	5717
37	221	5615
38	223	5516
39	226	5429
40	228	5346
41	230	5266
42	232	5183
43	234	5101
44	236	5027
45	238	4955
46	241	4886
47	242	4814
48	244	4746
49	246	4680
50	248	4620
51	250	4558
52	251	4502
53	253	4446
54	255	4392
55	257	4346
56	259	4293
57	261	4243
58	263	4199
59	265	4156
60	267	4113
61	269	4070
62	270	4029
63	272	3988
64	274	3947
65	276	3910
66	278	3872
67	279	3833
68	281	3800
69	283	3766
70	285	3731
71	287	3701
72	289	3671
73	290	3639
74	292	3607
75	294	3580
76	296	3550
77	297	3521
78	299	3492
79	301	3465
80	302	3437
81	304	3410
82	306	3388
83	308	3364
84	310	3339
85	311	3315
86	314	3295
87	315	3272
88	317	3250
89	325	3289
90	327	3267
91	329	3247
92	331	3230
93	333	3216
94	335	3197
95	337	3180
96	339	3160
97	341	3140
98	342	3120
99	344	3103
100	346	3084
101	348	3065
102	350	3049
103	351	3032
104	353	3015
105	355	3000
106	357	2984
107	359	2967
108	361	2954
109	363	2939
110	365	2924
111	367	2911
112	369	2897
113	371	2885
114	373	2871
115	375	2862
116	377	2848
117	379	2834
118	381	2822
119	383	2810
120	385	2798
121	387	2786
122	389	2774
123	391	2762
124	392	2750
125	394	2738
126	396	2726
127	398	2714
128	400	2702
129	402	2690
130	403	2678
131	405	2667
132	407	2655
133	409	2643
134	411	2634
135	412	2623
136	414	2612
137	416	2601
138	418	2590
139	419	2579
140	421	2569
141	423	2559
142	425	2550
143	427	2539
144	429	2530
145	430	2520
146	432	2510
147	434	2499
148	436	2491
149	437	2481
150	439	2472
151	441	2464
152	443	2455
153	445	2445
154	447	2436
155	448	2428
156	450	2421
157	452	2412
158	454	2404
159	456	2396
160	458	2389
161	460	2382
162	462	2374
163	464	2366
164	466	2359
165	467	2351
166	469	2342
167	471	2335
168	473	2327
169	474	2318
170	476	2310
171	478	2304
172	480	2297
173	482	2290
174	484	2284
175	486	2276
176	488	2269
177	490	2263
178	492	2257
179	493	2249
180	495	2242
181	497	2237
182	499	2231
183	501	2223
184	503	2218
185	505	2211
186	507	2205
187	509	2199
188	511	2192
189	512	2185
190	514	2180
191	516	2174
192	518	2167
193	520	2162
194	522	2158
195	524	2152
196	526	2147
197	528	2142
198	530	2136
199	533	2132
200	535	2127
201	536	2121
202	538	2114
203	540	2108
204	542	2102
205	543	2095
206	545	2091
207	547	2085
208	549	2078
209	551	2074
210	553	2068
211	554	2062
212	556	2056
213	558	2050
214	560	2045
215	561	2039
216	563	2034
217	565	2028
218	567	2023
219	569	2017
220	570	2012
221	572	2006
222	574	2002
223	576	1998
224	578	1993
225	580	1988
226	582	1984
227	584	1979
228	586	1974
229	588	1970
230	590	1965
231	592	1960
232	594	1956
233	596	1951
234	597	1945
235	599	1941
236	601	1936
237	603	1931
238	604	1926
239	606	1921
240	608	1916
241	610	1911
242	612	1907
243	614	1902
244	615	1898
245	618	1895
246	620	1890
247	621	1885
248	623	1881
249	625	1877
250	627	1872
251	629	1868
252	631	1865
253	633	1860
254	635	1855
255	637	1852
256	639	1848
257	641	1843
258	642	1839
259	644	1834
260	646	1830
261	648	1825
262	649	1821
263	651	1816
264	653	1811
265	655	1808
266	656	1803
267	658	1799
268	660	1795
269	662	1792
270	664	1788
271	666	1784
272	668	1780
273	670	1776
274	672	1772
275	674	1768
276	676	1764
277	677	1759
278	679	1756
279	681	1751
280	682	1747
281	684	1742
282	686	1739
283	688	1735
284	690	1733
285	693	1730
286	695	1727
287	697	1724
288	699	1720
289	701	1717
290	704	1715
291	706	1712
292	708	1709
293	710	1706
294	712	1703
295	715	1700
296	717	1697
297	719	1693
298	721	1690
299	723	1688
300	725	1685
301	727	1682
302	730	1680
303	732	1676
304	734	1673
305	736	1670
306	738	1667
307	740	1664
308	742	1660
309	744	1657
310	746	1654
311	748	1651
312	750	1648
313	752	1644
314	755	1642
315	757	1638
316	759	1636
317	761	1632
318	763	1628
319	765	1626
320	767	1623
321	769	1619
322	771	1617
323	773	1614
324	775	1610
325	777	1607
326	779	1604
327	781	1601
328	783	1598
329	785	1595
330	787	1592
331	790	1589
332	791	1586
333	794	1583
334	796	1580
335	798	1577
336	800	1574
337	802	1571
338	804	1568
339	806	1566
340	808	1562
341	810	1559
342	812	1556
343	814	1553
344	816	1551
345	819	1548
346	820	1544
347	822	1541
348	825	1539
349	827	1537
350	829	1534
351	832	1532
352	834	1529
353	836	1527
354	838	1524
355	840	1521
356	843	1518
357	845	1515
358	847	1512
359	849	1510
360	852	1508
361	853	1504
362	856	1502
363	858	1499
364	859	1496
365	862	1493
366	864	1490
367	866	1488
368	868	1485
369	870	1482
370	872	1480
371	875	1477
372	877	1474
373	879	1471
374	881	1469
375	883	1465
376	885	1463
377	887	1460
378	889	1457
379	892	1455
380	894	1452
381	896	1449
382	898	1447
383	900	1444
384	902	1441
385	905	1440
386	907	1438
387	910	1436
388	912	1433
389	914	1430
390	916	1427
391	918	1425
392	920	1422
393	922	1419
394	924	1416
395	926	1412
396	928	1409
397	930	1407
398	931	1403
399	934	1401
400	935	1398
401	937	1394
402	939	1392
403	941	1389
404	943	1385
405	945	1382
406	947	1379
407	948	1376
408	950	1373
409	952	1370
410	954	1367
411	955	1364
412	957	1361
413	959	1358
414	961	1355
415	963	1351
416	964	1349
417	966	1345
418	968	1342
419	970	1339
420	972	1336
421	973	1333
422	975	1330
423	977	1327
424	979	1324
425	980	1321
426	982	1318
427	984	1316
428	986	1312
429	988	1309
430	990	1308
431	992	1305
432	994	1302
433	996	1300
434	998	1296
435	1000	1293
436	1001	1290
437	1003	1288
438	1005	1285
439	1007	1282
440	1009	1279
441	1011	1276
442	1013	1274
443	1015	1271
444	1017	1268
445	1019	1266
446	1021	1263
447	1023	1260
448	1024	1257
449	1026	1255
450	1028	1252
451	1030	1249
452	1032	1246
453	1034	1243
454	1035	1240
455	1037	1237
456	1039	1234
457	1041	1232
458	1042	1229
459	1044	1226
460	1046	1223
461	1048	1220
462	1050	1217
463	1052	1215
464	1053	1212
465	1055	1209
466	1057	1206
467	1059	1203
468	1060	1201
469	1062	1198
470	1064	1195
471	1066	1192
472	1068	1189
473	1069	1187
474	1071	1184
475	1073	1181
476	1075	1179
477	1077	1176
478	1078	1173
479	1080	1170
480	1082	1168
481	1084	1165
482	1086	1162
483	1087	1159
484	1089	1157
485	1091	1154
486	1093	1151
487	1095	1149
488	1096	1146
489	1098	1143
490	1100	1140
491	1102	1138
492	1104	1135
493	1106	1133
494	1107	1130
495	1109	1127
496	1111	1124
497	1113	1122
498	1114	1119
499	1116	1116
500	1118	1114
501	1120	1111
502	1122	1108
503	1124	1106
504	1126	1103
505	1127	1100
506	1129	1098
507	1131	1095
508	1133	1093
509	1135	1090
510	1136	1088
511	1138	1085
512	1140	1082
513	1142	1080
514	1144	1077
515	1146	1075
516	1148	1073
517	1150	1070
518	1152	1067
519	1153	1065
520	1156	1063
521	1158	1060
522	1160	1058
523	1162	1055
524	1164	1053
525	1165	1050
526	1167	1048
527	1169	1045
528	1171	1043
529	1173	1040
530	1175	1038
531	1177	1035
532	1179	1033
533	1181	1031
534	1183	1028
535	1185	1026
536	1187	1023
537	1189	1021
538	1191	1018
539	1193	1016
540	1194	1013
541	1196	1011
542	1198	1008
543	1200	1006
544	1202	1003
545	1204	1001
546	1206	999
547	1208	996
548	1210	994
549	1212	992
550	1214	990
551	1217	987
552	1218	985
553	1220	982
554	1223	980
555	1224	978
556	1226	975
557	1228	973
558	1230	970
559	1232	968
560	1240	970
561	1242	968
562	1244	965
563	1246	963
564	1248	961
565	1250	958
566	1252	956
567	1254	954
568	1256	951
569	1259	949
570	1261	947
571	1263	945
572	1265	943
573	1267	940
574	1269	938
575	1271	935
576	1273	933
577	1275	930
578	1277	928
579	1279	926
